Year,Country,Product,iso3code,hhi,Stability value,CRI score,Domestic Production Value
2000,CHILE,MERCURY,CHL,0.0664445289264305,0.49,33.0,25.0
2000,CHILE,MOLYBDENUM,CHL,0.0664445289264305,0.49,33.0,33639.0
2000,CHILE,SILVER,CHL,0.0664445289264305,0.49,33.0,1242194.0
2000,CHILE,ZINC,CHL,0.0664445289264305,0.49,33.0,31403.0
2000,CHINA,ALUMINIUM,CHN,0.132312459112893,-0.21,42.83,7900000.0
2000,CHINA,ANTIMONY,CHN,0.132312459112893,-0.21,42.83,99300.0
2000,CHINA,ASBESTOS,CHN,0.132312459112893,-0.21,42.83,276000.0
2000,CHINA,BARYTES,CHN,0.132312459112893,-0.21,42.83,3024030.0
2000,CHINA,BISMUTH,CHN,0.132312459112893,-0.21,42.83,1122.0
2000,CHINA,CADMIUM,CHN,0.132312459112893,-0.21,42.83,2368.0
2000,CHINA,CHROMIUM,CHN,0.132312459112893,-0.21,42.83,208000.0
2000,CHINA,COBALT,CHN,0.132312459112893,-0.21,42.83,91.0
2000,CHINA,COPPER,CHN,0.132312459112893,-0.21,42.83,592600.0
2000,CHINA,GOLD,CHN,0.132312459112893,-0.21,42.83,176910.0
2000,CHINA,GRAPHITE,CHN,0.132312459112893,-0.21,42.83,1650000.0
2000,CHINA,IRON,CHN,0.132312459112893,-0.21,42.83,223947600.0
2000,CHINA,LEAD,CHN,0.132312459112893,-0.21,42.83,659500.0
2000,CHINA,LITHIUM,CHN,0.132312459112893,-0.21,42.83,31967.0
2000,CHINA,MAGNESITE,CHN,0.132312459112893,-0.21,42.83,10000000.0
2000,CHINA,MAGNESIUM,CHN,0.132312459112893,-0.21,42.83,142100.0
2000,CHINA,MANGANESE,CHN,0.132312459112893,-0.21,42.83,3514000.0
2000,CHINA,MERCURY,CHN,0.132312459112893,-0.21,42.83,203.0
2000,CHINA,MOLYBDENUM,CHN,0.132312459112893,-0.21,42.83,28755.0
2000,CHINA,NICKEL,CHN,0.132312459112893,-0.21,42.83,50300.0
2000,CHINA,RARE EARTH,CHN,0.132312459112893,-0.21,42.83,
2000,CHINA,SILVER,CHN,0.132312459112893,-0.21,42.83,1569145.0
2000,CHINA,TIN,CHN,0.132312459112893,-0.21,42.83,99400.0
2000,CHINA,TITANIUM,CHN,0.132312459112893,-0.21,42.83,650000.0
2000,CHINA,TUNGSTEN,CHN,0.132312459112893,-0.21,42.83,23453.0
2000,CHINA,URANIUM,CHN,0.132312459112893,-0.21,42.83,500.0
2000,CHINA,ZINC,CHN,0.132312459112893,-0.21,42.83,1780300.0
2000,CHINA,ZIRCONIUM,CHN,0.132312459112893,-0.21,42.83,29898.0
2000,CHINA,COAL,CHN,0.132312459112893,-0.21,42.83,1384184500.0
2000,CHINA,NATURAL GAS,CHN,0.132312459112893,-0.21,42.83,20012192.723697145
2000,CHINA,PETROLEUM,CHN,0.132312459112893,-0.21,42.83,162620000.0
2000,COTE D'IVOIRE,,CIV,0.0532567258202363,,,
2000,CAMEROON,GOLD,CMR,0.126933388389446,-0.56,67.33,1000.0
2000,CAMEROON,TIN,CMR,0.126933388389446,-0.56,67.33,
2000,"CONGO, REP.",,COG,,-0.92,,
2000,COOK ISLANDS,,COK,,,,
2000,COLOMBIA,ASBESTOS,COL,0.258245597152284,-1.61,36.33,59249.0
2000,COLOMBIA,BARYTES,COL,0.258245597152284,-1.61,36.33,900.0
2000,COLOMBIA,CHROMIUM,COL,0.258245597152284,-1.61,36.33,
2000,COLOMBIA,COPPER,COL,0.258245597152284,-1.61,36.33,2018.0
2000,COLOMBIA,GOLD,COL,0.258245597152284,-1.61,36.33,37018.0
2000,COLOMBIA,IRON,COL,0.258245597152284,-1.61,36.33,660109.0
2000,COLOMBIA,LEAD,COL,0.258245597152284,-1.61,36.33,
2000,COLOMBIA,MAGNESITE,COL,0.258245597152284,-1.61,36.33,10500.0
2000,COLOMBIA,MERCURY,COL,0.258245597152284,-1.61,36.33,0.0
2000,COLOMBIA,NICKEL,COL,0.258245597152284,-1.61,36.33,58927.0
2000,COLOMBIA,SILVER,COL,0.258245597152284,-1.61,36.33,7970.0
2000,COLOMBIA,ZINC,COL,0.258245597152284,-1.61,36.33,
2000,COLOMBIA,COAL,COL,0.258245597152284,-1.61,36.33,38242000.00000001
2000,COLOMBIA,NATURAL GAS,COL,0.258245597152284,-1.61,36.33,4187139.3692071866
2000,COLOMBIA,PETROLEUM,COL,0.258245597152284,-1.61,36.33,36283116.883116886
2000,COMOROS,,COM,0.167771432762462,0.02,25.33,
2000,CAPE VERDE,,CPV,0.258634724365157,1.22,118.0,
2000,COSTA RICA,GOLD,CRI,0.274812014609316,0.87,118.0,51.0
2000,COSTA RICA,SILVER,CRI,0.274812014609316,0.87,118.0,
2000,CZECHOSLOVAKIA,ANTIMONY,CSK,,,,
2000,CZECHOSLOVAKIA,ASBESTOS,CSK,,,,
2000,CZECHOSLOVAKIA,BARYTES,CSK,,,,
2000,CZECHOSLOVAKIA,COPPER,CSK,,,,
2000,CZECHOSLOVAKIA,GRAPHITE,CSK,,,,
2000,CZECHOSLOVAKIA,IRON,CSK,,,,
2000,CZECHOSLOVAKIA,LEAD,CSK,,,,
2000,CZECHOSLOVAKIA,MAGNESITE,CSK,,,,
2000,CZECHOSLOVAKIA,MANGANESE,CSK,,,,
2000,CZECHOSLOVAKIA,MERCURY,CSK,,,,0.0
2000,CZECHOSLOVAKIA,SILVER,CSK,,,,
2000,CZECHOSLOVAKIA,TIN,CSK,,,,
2000,CZECHOSLOVAKIA,TUNGSTEN,CSK,,,,
2000,CZECHOSLOVAKIA,ZINC,CSK,,,,
2000,CUBA,BARYTES,CUB,0.10736547486276,0.25,,
2000,CUBA,CHROMIUM,CUB,0.10736547486276,0.25,,32400.0
2000,CUBA,COBALT,CUB,0.10736547486276,0.25,,2900.0
2000,CUBA,COPPER,CUB,0.10736547486276,0.25,,1346.0
2000,CUBA,GOLD,CUB,0.10736547486276,0.25,,1000.0
2000,CUBA,IRON,CUB,0.10736547486276,0.25,,101500.0
2000,CUBA,NICKEL,CUB,0.10736547486276,0.25,,68100.0
2000,CYPRUS,ASBESTOS,CYP,0.0901150372642804,0.52,118.0,
2000,CYPRUS,CHROMIUM,CYP,0.0901150372642804,0.52,118.0,
2000,CYPRUS,COPPER,CYP,0.0901150372642804,0.52,118.0,5200.0
2000,CZECH REPUBLIC,,CZE,0.181365496740111,0.33,92.83,
2000,DJIBOUTI,,DJI,,-0.24,73.0,
2000,DOMINICA,,DMA,0.0833858259584671,0.49,77.67,
2000,DOMINICAN REPUBLIC,,DOM,,0.01,118.0,
2000,ALGERIA,ANTIMONY,DZA,0.0850293110836902,-1.43,105.17,
2000,ALGERIA,BARYTES,DZA,0.0850293110836902,-1.43,105.17,51925.0
2000,ALGERIA,CADMIUM,DZA,0.0850293110836902,-1.43,105.17,
2000,ALGERIA,COPPER,DZA,0.0850293110836902,-1.43,105.17,
2000,ALGERIA,GOLD,DZA,0.0850293110836902,-1.43,105.17,
2000,ALGERIA,IRON,DZA,0.0850293110836902,-1.43,105.17,1645000.0
2000,ALGERIA,LEAD,DZA,0.0850293110836902,-1.43,105.17,510.0
2000,ALGERIA,MERCURY,DZA,0.0850293110836902,-1.43,105.17,215.625
